epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2443.04,1.00982,0.73565,1.18672,0.81267,0.64717,0.76633,0.4312,1.50959,1.08606,1.49091,0.0006338,0.0006338,0.0006338
71,2477.91,0.99626,0.73042,1.18407,0.77781,0.64522,0.74661,0.42783,1.50158,1.11197,1.47168,0.000614,0.000614,0.000614
72,2512.85,0.97472,0.70456,1.17072,0.81143,0.64589,0.75295,0.42281,1.52364,1.09774,1.48263,0.0005942,0.0005942,0.0005942
73,2547.76,0.97222,0.69106,1.16615,0.80496,0.62963,0.73648,0.40949,1.53636,1.15357,1.48044,0.0005744,0.0005744,0.0005744
74,2582.75,0.95733,0.69724,1.16587,0.72656,0.62183,0.71609,0.38023,1.59467,1.18399,1.5196,0.0005546,0.0005546,0.0005546
75,2617.65,0.98673,0.69952,1.16749,0.76485,0.62771,0.71911,0.39081,1.60319,1.17306,1.5277,0.0005348,0.0005348,0.0005348
76,2652.26,0.95041,0.67424,1.15364,0.70113,0.7115,0.75118,0.43127,1.50212,1.08856,1.45706,0.000515,0.000515,0.000515
77,2687.2,0.9597,0.67206,1.15224,0.75684,0.64912,0.74705,0.40957,1.54636,1.10976,1.49687,0.0004952,0.0004952,0.0004952
78,2722.31,0.92502,0.66287,1.14605,0.79683,0.64912,0.73867,0.40557,1.56877,1.16024,1.50971,0.0004754,0.0004754,0.0004754
79,2756.91,0.95754,0.69702,1.15736,0.84324,0.60818,0.74439,0.42033,1.50743,1.10067,1.47029,0.0004556,0.0004556,0.0004556
80,2791.92,0.96999,0.69082,1.16039,0.76136,0.67641,0.75783,0.42542,1.53309,1.10645,1.48917,0.0004358,0.0004358,0.0004358
81,2826.49,0.93303,0.65905,1.1449,0.75511,0.66082,0.75097,0.41631,1.52615,1.10424,1.48059,0.000416,0.000416,0.000416
82,2861.42,0.94249,0.66128,1.14692,0.7259,0.66472,0.73106,0.4081,1.528,1.15904,1.47588,0.0003962,0.0003962,0.0003962
